date, pm25, pm10, o3, no2, so2, co
2024/2/14, , 45, 45, , 23, 10
2024/2/15, , 32, 33, , 37, 1
2024/2/16, , 47, 57, , 13, 9
2024/2/17, , 36, 50, , 11, 22
2024/2/18, , 28, 43, , 28, 9
2024/2/19, , 63, 44, , 23, 5
2024/2/20, , 49, 42, , 30, 4
2024/2/21, , 54, 52, , 14, 4
2024/2/22, , 26, 51, , 12, 2
2024/2/23, , 23, 40, , 19, 6
2024/2/24, , 70, 50, , 16, 7
2024/2/25, , 63, 52, , 26, 1
2024/2/26, , 64, 46, , 14, 5
2024/2/27, , 53, 46, , 17, 9
2024/2/28, , 68, 45, , 17, 7
2024/2/29, , 57, 40, , 24, 
2024/3/1, , 46, 44, , 24, 
2024/3/2, , 46, 47, , 20, 
2024/3/3, , 44, 43, , 19, 
2024/3/4, , 63, 45, , 20, 3
2024/3/5, , 51, 45, , 21, 2
2024/3/6, , 42, 51, , 18, 6
2024/3/7, , 54, 48, , 19, 4
2024/3/8, , 35, 38, , 24, 3
2024/3/9, , 59, 65, , 21, 3
2024/3/10, , 52, 56, , 17, 4
2024/3/11, , 42, 50, , 17, 5
2024/3/12, , 35, 54, , 20, 7
2024/3/13, , 44, 51, , 19, 7
2024/3/14, , 41, 70, , 9, 5
2024/3/15, , 23, 68, , 11, 4
2024/3/16, , 23, 64, , 10, 6
2024/3/17, , 32, 55, , 14, 5
2024/3/18, , 29, 56, , 10, 8
2024/3/19, , 55, 54, , 12, 5
2024/3/20, , 30, 48, , 15, 4
2024/3/21, , 37, 52, , 11, 5
2024/3/22, , 38, 61, , 10, 5
2024/3/23, , 31, 58, , 10, 3
2024/3/24, , 30, 57, , 6, 7
2024/3/25, , 36, 57, , 9, 2
2024/3/26, , 51, 74, , 4, 4
2024/3/27, , 45, 68, , 7, 7
2024/3/28, , 45, 68, , 5, 2
2024/3/29, , 31, 49, , 18, 4
2024/3/30, , 65, 58, , 11, 6
2024/3/31, , 44, 62, , 6, 5
2023/10/1, , 61, 19, , 3, 2
2023/10/2, , 57, 18, , 11, 3
2023/10/3, , 57, 19, , 4, 6
2023/10/4, , 82, 14, , 9, 3
2023/10/5, , 93, 22, , 4, 2
2023/10/6, , 80, 31, , 3, 3
2023/10/7, , 37, 18, , 12, 5
2023/10/8, , 74, 17, , 6, 6
2023/10/9, , 97, 22, , 10, 5
2023/10/10, , 93, 22, , 10, 6
2023/10/11, , 89, 21, , 7, 21
2023/10/12, , 107, 17, , 8, 12
2023/10/13, , 96, 28, , 5, 4
2023/10/14, , 88, 23, , 5, 3
2023/10/15, , 86, 23, , 7, 2
2023/10/16, , 97, 16, , 10, 1
2023/10/17, , 69, 23, , 5, 
2023/10/18, , 65, 21, , 7, 2
2023/10/19, , 48, 14, , 10, 4
2023/10/20, , 85, 13, , 10, 3
2023/10/21, , 80, 18, , 8, 2
2023/10/22, , 73, 13, , 9, 4
2023/10/23, , 85, 16, , 13, 14
2023/10/24, , 88, 16, , 11, 15
2023/10/25, , 99, 11, , 9, 
2023/10/26, , 107, 10, , 11, 
2023/10/27, , 105, , , , 
2023/10/31, , 127, 13, , 8, 5
2023/11/1, , 129, 17, , 4, 5
