date, pm25, pm10, o3, no2, so2, co
2023/12/24, 221, 222, 2, 84, 96, 31
2023/12/25, 289, 240, 2, 120, 90, 39
2023/12/26, 192, 167, 7, 55, 66, 33
2023/12/27, 240, 189, 2, 81, 83, 40
2023/12/28, 288, 193, 3, 81, 74, 36
2023/12/29, 166, 155, 8, 41, 61, 27
2023/12/30, 151, 103, 10, 39, 28, 21
2023/12/31, 87, 61, 21, 8, 28, 11
2022/10/1, 30, 44, 12, , 3, 2
2022/10/2, 31, 86, 17, , 3, 5
2022/10/3, 68, 103, 14, , 11, 7
2022/10/4, 93, 104, 13, , 16, 7
2022/10/5, 90, 107, 14, , 14, 9
2022/10/6, 91, 96, 16, , 10, 7
2022/10/7, 102, 60, 19, , 4, 3
2022/7/1, 80, 126, 45, , 1, 3
2022/7/2, 96, 127, 36, , 1, 4
2022/7/3, 60, 72, 15, , 1, 4
2022/7/4, 32, 84, 31, , 1, 4
2022/7/5, 39, 159, 25, , 1, 4
2022/7/6, 52, 109, 28, , 2, 2
2022/7/7, 35, 113, 21, , 1, 12
2022/7/8, 60, 187, 26, , 1, 18
2022/7/9, 48, 100, 29, , 1, 2
2022/7/10, 35, 41, 30, , , 3
2022/7/11, 24, 33, 19, , 1, 1
2022/7/12, 17, 69, 29, , 1, 1
2022/7/13, 37, 60, 31, , 1, 1
2022/7/14, 39, 29, 23, , 1, 1
2022/7/15, 30, 29, 22, , 2, 2
2022/7/16, 33, 64, 30, , 1, 2
2022/7/17, 45, 47, 36, , 2, 2
2022/7/18, 33, 60, 41, , 1, 1
2022/7/19, 45, 67, 38, , 1, 4
2022/7/20, 34, 50, 21, , 1, 5
2022/7/21, 37, 19, 16, , 1, 2
2022/7/22, 27, 24, 19, , , 
2022/7/23, 20, 76, 24, , , 3
2022/7/24, 28, 75, 22, , 1, 9
2022/7/25, 34, 59, 17, , 1, 11
2022/7/26, 30, 35, 23, , 1, 3
2022/7/27, 20, 33, 9, , 2, 4
2022/7/28, 50, 29, 23, , 1, 4
2022/7/29, 28, 28, 29, , 1, 5
2022/7/30, 18, 54, 32, , 1, 3
2022/7/31, 36, 73, 26, , 1, 1
2022/8/1, 42, 116, 29, , 1, 2
2022/8/2, 46, 104, 11, , 1, 2
2022/8/8, 55, , , , , 
2022/9/28, 48, 76, 16, , 5, 4
2022/9/29, 46, 53, 20, , 2, 3
2022/9/30, 41, 110, 14, , 2, 4
2022/4/1, 106, 100, 27, , 17, 8
2022/4/2, 97, 104, 29, , 17, 10
2022/4/3, 100, 124, 31, , 13, 16
2022/4/4, 81, 66, 28, , 17, 5
2022/4/5, 64, 104, 26, , 14, 5
2022/4/6, 94, 111, 27, , 20, 8
2022/4/7, 102, 97, 31, , 14, 4
2022/4/8, 92, 365, 33, , 9, 5
2022/4/9, 107, 42, 26, , 8, 4
2022/4/10, 59, 44, 32, , 6, 5
2022/4/11, 38, 59, 27, , 9, 7
2022/4/12, 80, , 23, , 10, 9
2022/4/13, 80, 27, 31, , 10, 16
2022/4/14, 84, 75, 28, , 10, 12
2022/4/15, 85, 66, 29, , 11, 8
2022/4/16, 62, 75, 32, , 11, 10
2022/4/17, 82, 85, 27, , 17, 9
2022/4/18, 83, 90, 34, , 12, 7
2022/4/19, 73, 106, 27, , 9, 7
2022/4/20, 59, 63, 31, , 9, 7
2022/4/21, 38, 168, 32, , 10, 11
2022/4/22, 64, 87, 31, , 9, 10
2022/4/23, 35, 58, 33, , 9, 25
2022/4/24, 46, 101, 32, , 6, 5
2022/4/25, 32, 47, 29, , 7, 10
2022/4/26, 59, 65, 29, , 9, 9
2022/4/27, 63, 86, 29, , 9, 6
2022/4/28, 57, 98, 31, , 12, 11
2022/4/29, 71, 92, 34, , 9, 10
2022/4/30, 69, 85, 29, , 10, 7
2022/5/1, 117, 92, 35, , 8, 5
2022/5/3, 61, 107, 27, , 7, 5
2022/5/4, 55, 78, 29, , 6, 3
2022/5/5, 32, 55, 31, , 5, 6
2022/5/6, 43, 20, 31, , 4, 4
2022/5/7, 25, 5, 35, , 6, 13
2022/5/9, 60, 7, 31, , 3, 4
2022/5/10, 48, 6, 28, , 4, 9
2022/5/11, 63, 36, 30, , 6, 10
2022/5/12, 58, 82, 28, , 7, 12
2022/5/13, 62, 71, 31, , 6, 7
2022/5/14, 59, 84, 31, , 9, 6
2022/5/15, 67, 96, 37, , 5, 6
2022/5/16, 71, 109, 35, , 6, 9
2022/5/17, 103, 95, 33, , 4, 5
2022/5/18, 75, 74, 30, , 7, 4
2022/5/19, 57, 93, 33, , 4, 2
2022/5/20, 63, 80, 35, , 6, 2
2022/5/21, 132, 70, 27, , 8, 1
2022/5/22, 48, 96, 35, , 6, 3
2022/5/23, 75, 61, 28, , 3, 4
2022/5/24, 38, 81, 32, , 8, 4
2022/5/25, 73, 66, 30, , 7, 5
2022/5/26, 78, 92, 23, , 9, 4
2022/5/27, 56, 34, 18, , 5, 4
2022/5/28, 56, 38, 34, , 2, 3
2022/5/29, 62, 65, 35, , 2, 4
2022/5/30, 67, 62, 32, , 3, 3
2022/5/31, 52, 77, 27, , 7, 3
2022/6/1, 50, 94, 39, , 4, 4
2022/6/2, 100, 74, 27, , 3, 5
2022/6/6, 46, 24, 32, , 4, 3
2022/6/7, 23, 31, 16, , 2, 5
2022/6/8, 22, 52, 30, , 3, 3
2022/6/9, 22, 30, 23, , 2, 4
2022/6/10, 25, 17, 16, , 1, 4
2022/6/11, 14, 55, 27, , 1, 3
2022/6/12, 24, 95, 26, , 2, 5
2022/6/13, 52, 91, 26, , 1, 3
