date, pm25, pm10, no2, so2, co
2023/9/8, 13, 53, 25, 1, 4
2023/9/9, 14, 24, 19, 1, 3
2023/9/10, 12, 36, 23, 2, 5
2023/9/11, 11, 44, 30, 7, 6
2023/9/12, 26, 75, 30, 2, 6
2023/9/13, 18, 59, 28, 1, 6
2023/9/14, 22, 19, 25, , 5
2023/9/15, 17, 30, 22, , 5
2023/9/16, 14, 30, 22, , 6
2023/9/17, 11, 44, 23, 1, 5
2023/9/18, 14, 74, 29, 5, 7
2023/9/19, 27, 76, 28, 3, 7
2023/9/20, 21, 66, 28, 5, 6
2023/9/21, 17, 46, 31, 3, 7
2023/9/22, 17, 32, 27, 1, 5
2023/9/23, 19, 35, 27, 1, 5
2023/9/24, 18, 50, 29, 2, 6
2023/9/25, 28, 59, 23, 1, 4
2023/9/26, 15, 72, 26, 3, 6
2023/9/27, 18, 57, 23, , 8
2023/9/28, 25, 78, 27, 1, 5
2023/9/29, 23, 73, 30, 6, 8
2023/9/30, 28, 78, 32, 8, 9
2023/4/1, 15, 57, 27, 5, 6
2023/4/2, 16, 19, 14, 3, 5
2023/4/3, 41, 70, 37, 15, 10
2023/4/4, 37, 84, 34, 19, 13
2023/4/5, 44, 64, 31, 7, 6
2023/4/6, 20, 93, 48, 22, 13
2023/4/7, 52, 133, 56, 23, 25
2023/4/8, 73, 113, 42, 19, 13
2023/4/9, 44, 53, 30, 4, 5
2023/4/10, 18, 81, 41, 14, 12
2023/4/11, 43, 90, 42, 15, 12
2023/4/12, 40, 72, , 12, 11
2023/4/13, 43, 80, , 14, 10
2023/4/14, 38, 86, , 15, 11
2023/4/15, 35, 69, 42, 11, 6
2023/4/16, 14, 53, 38, 7, 8
2023/4/17, 29, 107, , 11, 8
2023/4/18, 39, 109, , , 10
2023/4/19, 43, 60, , 5, 5
2023/4/20, 17, 60, 30, 7, 6
2023/4/21, 19, 53, 27, 10, 8
2023/4/22, 23, 61, 32, 12, 9
2023/4/23, 23, 67, 28, 11, 9
2023/4/24, 23, 95, 37, 16, 11
